scenario,step,G_gas,y_CO2,rl_capture,rl_energy,rl_L,rl_alpha,rl_T,rl_Tic,rl_flood,rl_reward,pid_capture,pid_energy,pid_L,pid_alpha,pid_T,pid_Tic,pid_flood
1,0,0.8,0.13,97.68695068359375,3.9655251502990723,5.040316777924697,0.26725286769866946,39.73799990490079,38.07045604288578,0.5041448783108775,1.019264148551598,95.12406921386719,3.7386186122894287,4.0,0.2881799194335938,43.219360733032225,38.0,0.4905025009354599
1,1,0.8,0.13,97.91095733642578,3.978200912475586,5.057227131393221,0.2619807056427002,39.31679832749069,38.188062163069844,0.5040532891801172,1.0285632389121748,89.60830688476562,3.6589887142181396,3.477839965820313,0.2968417016601563,43.598035621643064,38.0,0.48272369648558094
1,2,0.8,0.13,98.21781158447266,3.984684944152832,5.0235308038967625,0.2547340932559967,38.85052352678031,38.339379326906055,0.5030897255326486,1.0365469832541325,95.09490203857422,3.7174723148345947,3.975164286295573,0.2935632844238282,41.883194828033446,38.0,0.48881761487088893
1,3,0.8,0.13,98.49862670898438,3.98606538772583,4.941434030915484,0.24609012103652955,38.423015845473856,38.520429819007404,0.501376323258247,1.0439381190102859,80.48454284667969,3.631317138671875,3.3167761908637154,0.3051971088623047,43.75167489051819,38.0,0.48037023092693426
1,4,0.8,0.13,98.70464324951172,3.9830453395843506,4.826840165711234,0.23656506710510256,38.086463342187926,38.73186286477721,0.49923472376142713,1.0494713048933286,97.34764862060547,4.037999153137207,5.4758546391239875,0.2801576870898438,38.319762730598455,38.0,0.5099809471124243
1,5,0.8,0.13,98.9777603149414,3.9668514728546143,4.698203973277933,0.2265917336405182,37.86720734031405,38.97592743626592,0.4969981745827914,1.0572216551388207,94.36740112304688,3.7797231674194336,4.317236426082658,0.300126149671875,43.39063068628312,38.0,0.4956102407975938
1,6,0.8,0.13,98.99565124511719,3.9582087993621826,4.570103729635163,0.21727338691241457,37.773463632620405,39.25603434548793,0.4949048975033073,1.0579822260127634,89.55928039550781,3.6727402210235596,3.669808974403413,0.3058966625353516,43.762108975648886,38.0,0.4857481404717183
1,7,0.8,0.13,99.0184555053711,3.9496963024139404,4.452680954416384,0.20981870952993165,37.79500033691875,39.57318867449476,0.4930960407283186,1.0588854548723652,94.5392074584961,3.6943323612213135,3.9490169367116503,0.30191264252828126,42.346285429596904,38.0,0.4887838164440114
1,8,0.8,0.13,99.07219696044922,3.934522867202759,4.350311069243345,0.2038549676239453,37.90994160801347,39.92802316289033,0.49161790468260125,1.0608340660508702,76.63340759277344,3.620150327682495,3.2993446244744336,0.31078481678141406,43.9083994820714,38.0,0.48021275714457734
1,9,0.8,0.13,99.14602661132812,3.923661470413208,4.2619933501238245,0.19908397409915624,38.09128794349817,40.32029490240578,0.49042570939708274,1.0631677991849757,97.06558990478516,4.17535400390625,6.112633914281784,0.28462785342513125,36.9541997410357,38.0,0.5196497784220174
1,10,0.8,0.13,99.18413543701172,3.9099960327148438,4.184065228724124,0.195267179279325,38.31161342326595,40.748375181616574,0.4894334135391267,1.0646405128295147,94.13931274414062,3.8758773803710938,4.741755942854523,0.303702282740105,42.814140390232204,38.0,0.501922727331747
1,11,0.8,0.13,99.22502136230469,3.901264190673828,4.11001239867584,0.19221374342345998,38.548676714990506,41.20909878742786,0.488516639354323,1.0660170713959127,93.43074035644531,3.7170844078063965,4.016705296538432,0.3075495398151309,43.32130874339491,38.0,0.49071952765769117
1,12,0.8,0.13,99.29080200195312,3.8907103538513184,4.0337535897995105,0.189770994738768,38.78562685509223,41.69807327078351,0.48756466718029756,1.0681124726274633,82.49473571777344,3.6514248847961426,3.5106572297560903,0.3112453874673391,43.6367335495539,38.0,0.4831582029792307
1,13,0.8,0.13,99.3682861328125,3.874276876449585,3.9497748446202987,0.1878167957910144,39.01177440042147,42.21023491238481,0.4864829987282289,1.0707147782911488,96.50362396240234,3.969454050064087,5.122445497734529,0.2896113795539494,39.37132392809727,38.0,0.504976415370415
1,14,0.8,0.13,99.43340301513672,3.8557441234588623,3.854371394994306,0.18625343663281152,39.22172234495406,42.740120447910776,0.485211791772292,1.0730610291641884,93.3299789428711,3.733044147491455,4.081630331823019,0.30729780115292515,43.6373337551253,38.0,0.4920419871552245
1,15,1.25,0.13,99.06048583984375,3.7090940475463867,3.7464952022052125,0.18500274930624921,39.413344492713236,43.282059052763096,0.7558384567509173,1.0680621157743406,52.48423385620117,3.679788112640381,3.6495445294835753,0.3098967492231214,43.579637183959136,38.0,0.7581861623569224
1,16,1.25,0.13,98.95516967773438,3.7051055431365967,3.671067677452585,0.18400219944499938,39.59063862708689,43.832137615738596,0.7543001494382539,1.0652843140207542,76.59626770019531,3.6533539295196533,4.073581680813417,0.2839173993784971,36.78981859197957,38.0,0.7587714428635534
1,17,1.25,0.13,98.8818130493164,3.7038350105285645,3.653959882765625,0.1832017595559995,39.732781198235756,44.380518228753125,0.7541067789134642,1.063415657503272,96.44886016845703,3.6779022216796875,4.485645034416941,0.2633327613607078,35.18219214434794,38.0,0.7667208965848785
1,18,1.25,0.13,98.92237091064453,3.7016265392303467,3.6857203501857745,0.18256140764479958,39.825618032546046,44.92025465029755,0.7550089126949974,1.0646458566322243,65.69424438476562,3.6546404361724854,3.6570966896112944,0.279504966412785,40.33714156625356,38.0,0.7540015536190575
1,19,1.25,0.13,99.08718872070312,3.701603651046753,3.7478356656695357,0.18204912611583968,39.86389125380352,45.44698435819357,0.7565613841365543,1.0690161190273317,90.18871307373047,3.6386282444000244,4.137345610026832,0.259603973130228,35.16857078312678,38.0,0.7581896144820671
1,20,1.25,0.13,99.17735290527344,3.711115837097168,3.8245851122515035,0.18163930089267175,39.85127926179983,45.958828486548434,0.7583980074064877,1.071087773153079,80.1839599609375,3.6633167266845703,3.9794787790803885,0.2658583921272293,38.48742011904142,38.0,0.7591993933538101
1,21,1.25,0.13,99.2697982788086,3.720749855041504,3.9053353260408925,0.1813114407141374,39.79758158479739,46.45479512776924,0.7602795162822115,1.073218812318457,98.3927230834961,3.677031993865967,4.386503496540007,0.2486867137017834,34.548541564342486,38.0,0.7634841378156755
1,22,1.25,0.13,99.36559295654297,3.7291502952575684,3.9834762788779927,0.18104915257130993,39.71543191077615,46.93539121051127,0.7620642572756178,1.075481546374847,67.17748260498047,3.6572656631469727,3.5910023310266714,0.27101832237744233,40.577381095586766,38.0,0.7528690814404444
1,23,1.25,0.13,99.4713134765625,3.736497402191162,4.056361121152334,0.18083932205704795,39.61633106732023,47.40181420407812,0.7637032139873439,1.0780449187697942,91.8161392211914,3.637948989868164,4.087212553165073,0.25281465790195384,35.28869054779338,38.0,0.7572286653114908
1,24,1.25,0.13,99.5650405883789,3.7430477142333984,4.123905234677588,0.18067145764563836,39.50880059060282,47.85550743462235,0.7652051640576734,1.0803176788180593,73.759765625,3.6577582359313965,3.6917118009870014,0.26373946741043025,39.1278932475295,38.0,0.7532426050837392
1,25,1.25,0.13,99.63765716552734,3.7535669803619385,4.18681305937833,0.1805371661165107,39.397993828265996,48.29772249699824,0.766593597010013,1.0818980094937436,96.9710464477539,3.671574831008911,4.181701437459552,0.2469915739283442,34.56394662376475,38.0,0.7585110574609668
1,26,1.25,0.13,99.70039367675781,3.7649054527282715,4.245685308627727,0.18042973289320854,39.28569116401629,48.72329187274868,0.7678848334009489,1.0831890086201506,65.3263168334961,3.6472079753875732,3.4544676249730344,0.2688198643672847,40.462685630302786,38.0,0.7494961073463796
1,27,1.25,0.13,99.74164581298828,3.773287534713745,4.2999390136549485,0.18034378631456682,39.17153248915055,49.04246890456151,0.7690628448353539,1.0840072610841964,90.4423599243164,3.6432695388793945,3.998092948511593,0.2510558914938278,35.23134281515139,38.0,0.7550110226211876
1,28,1.25,0.13,99.76321411132812,3.779838800430298,4.349043675767025,0.18027502905165346,39.05534936290969,49.281851678421134,0.7701130828126223,1.0843629746984162,79.24679565429688,3.6605565547943115,3.8270320075852027,0.25977585028002315,38.65420061289796,38.0,0.7558335360487183
